@RELATION images

@ATTRIBUTE left_quad_std NUMERIC
@ATTRIBUTE left_quad_mean NUMERIC
@ATTRIBUTE right_quad_std NUMERIC
@ATTRIBUTE right_quad_mean NUMERIC
@ATTRIBUTE low_left_quad_std NUMERIC
@ATTRIBUTE low_left_quad_mean NUMERIC
@ATTRIBUTE low_right_quad_std NUMERIC
@ATTRIBUTE low_right_quad_mean NUMERIC
@ATTRIBUTE cent_vert_strip_std NUMERIC
@ATTRIBUTE cent_vert_strip_mean NUMERIC
@ATTRIBUTE cent_hor_strip_std NUMERIC
@ATTRIBUTE cent_hor_strip_mean NUMERIC
@ATTRIBUTE cent_box_std NUMERIC
@ATTRIBUTE cent_box_mean NUMERIC
@ATTRIBUTE left_right_top_mean_dif NUMERIC
@ATTRIBUTE global_min NUMERIC
@ATTRIBUTE global_max NUMERIC
@ATTRIBUTE global_std NUMERIC
@ATTRIBUTE global_mean NUMERIC
@ATTRIBUTE eye_dif_val NUMERIC
@ATTRIBUTE class {0,1}

@DATA
26.7123465634,115.135802469,26.72863171,107.111111111,23.7385161031,114.037037037,24.2878322605,112.049382716,27.311783501,140.526315789,23.5439119407,142.0,27.2812802447,120.419753086,8.02469135802,54,189,26.9528604737,114.980609418,47.1904761905,1
33.0686196821,117.185185185,29.7858740503,108.24691358,24.5360485863,117.209876543,24.9554946027,114.839506173,26.9916371577,144.631578947,22.1549566748,138.0,27.6267388905,120.530864198,8.93827160494,61,204,29.328850295,117.083102493,42.619047619,1
29.6121604881,114.691358025,31.1037469238,112.296296296,23.3134803516,115.987654321,25.6832973633,115.469135802,28.023634663,138.789473684,21.8065023721,134.947368421,26.7775529477,121.271604938,2.3950617284,58,198,28.1795142051,116.831024931,37.880952381,1
24.453521198,110.975308642,29.8049494196,109.617283951,23.3205203569,114.172839506,26.4500864288,115.530864198,20.5990613776,122.315789474,24.1711350026,141.578947368,28.2590623965,121.234567901,1.35802469136,52,199,26.6773192237,114.501385042,51.8333333333,1
24.9461850297,109.691358025,28.5609966367,105.469135802,16.8448092732,118.740740741,19.9063498619,116.691358025,27.7853864618,136.157894737,21.5184002948,132.105263158,25.7531692765,116.308641975,4.22222222222,54,197,24.5965788221,114.789473684,39.0238095238,1
29.510645872,111.382716049,32.4465160847,111.296296296,18.9126051388,120.641975309,21.9164838973,118.839506173,27.8243401686,128.736842105,17.7029975395,124.157894737,24.8244560842,117.765432099,0.0864197530864,58,205,26.5455637186,116.662049861,35.7142857143,1
22.3479775095,106.111111111,27.8299482648,104.987654321,17.0148898813,118.271604938,22.046347931,117.604938272,21.6971090917,121.842105263,25.0310610367,137.157894737,26.6061556251,117.703703704,1.12345679012,52,198,24.1751591038,113.506925208,47.9047619048,1
23.9229444307,64.037037037,29.7473638265,87.3950617284,41.171453139,82.5308641975,19.447450287,92.7160493827,24.4695525658,87.3684210526,19.4996981296,100.157894737,23.8802134373,74.7901234568,23.3580246914,22,255,31.0616462608,82.8725761773,35.5,1
23.7569681898,66.5679012346,30.3174335392,90.3703703704,53.5111775335,91.6172839506,18.6548316391,93.1851851852,23.678361851,87.5789473684,19.4422220952,100.0,23.3936316707,74.4814814815,23.8024691358,25,255,34.923999559,86.2548476454,34.9285714286,1
22.0599631756,64.4444444444,29.5657696595,91.1604938272,51.0751080926,90.2222222222,17.8759463784,94.1358024691,20.5037662914,80.7368421053,20.1631846845,99.1578947368,22.1550906443,73.9382716049,26.7160493827,26,255,33.8346148705,85.4736842105,34.1904761905,1
23.8443742592,65.3703703704,29.5983528338,86.7530864198,16.9590000223,69.1481481481,15.9706330097,97.024691358,23.2616098556,93.0526315789,20.3559733486,101.052631579,23.4754311895,75.8765432099,21.3827160494,28,134,25.9505563197,81.3213296399,34.4047619048,1
30.1424955015,116.530864198,31.5223264445,115.481481481,23.5317127048,125.75308642,24.2425507126,127.950617284,29.1335638557,139.157894737,24.2686944248,144.368421053,20.7212945287,116.617283951,1.04938271605,60,218,28.5332923286,123.387811634,50.1666666667,1
32.782099643,119.975308642,33.3020063126,119.160493827,24.1241644133,122.777777778,23.6711002629,126.555555556,31.3067213762,141.315789474,22.6595909873,144.263157895,21.8143711484,117.901234568,0.814814814815,63,211,29.3707732559,124.119113573,49.1428571429,1
22.4314906459,65.8395061728,29.4073607612,90.4814814815,38.9909771139,82.1111111111,16.2863606075,98.962962963,20.8334644502,92.4210526316,20.9543759768,102.421052632,24.0687046877,77.8641975309,24.6419753086,32,253,30.0730828674,85.6426592798,35.7142857143,1
22.655898623,67.7160493827,30.2631853435,94.9382716049,60.772720679,100.098765432,17.5661009115,98.4444444444,18.9742499368,86.6315789474,19.2555348736,104.473684211,24.0400899733,75.0,27.2222222222,32,255,37.7260340207,90.8144044321,34.7619047619,1
31.927592024,116.75308642,32.4414001616,116.0,25.6383759666,125.209876543,25.0456921266,130.148148148,28.238203234,139.842105263,28.0248208151,144.368421053,20.8345102548,114.185185185,0.753086419753,55,219,30.0400777918,124.030470914,48.0952380952,1
34.7807161619,121.925925926,34.6502590344,121.432098765,31.7582604313,116.925925926,23.2430417106,128.395061728,29.0291667255,143.789473684,26.1332617256,143.0,20.7815075546,115.407407407,0.493827160494,32,217,31.9746820428,124.296398892,46.880952381,1
22.2304305828,44.9259259259,20.8387089544,45.0864197531,42.1677397385,55.1728395062,20.4239997376,52.6543209877,28.322538816,71.7894736842,24.7051308498,57.8421052632,27.2056695007,55.2716049383,0.16049382716,16,248,28.4798999823,50.9058171745,43.5238095238,1
17.9869213608,41.4320987654,18.3299286027,42.7037037037,51.0797273481,58.5185185185,17.4308046944,50.7160493827,28.1228015453,70.0526315789,23.7908709417,72.6842105263,28.0426276425,53.8641975309,1.27160493827,16,248,30.8754155994,50.5761772853,40.1428571429,1
18.5339935341,41.1851851852,18.849519207,42.3209876543,53.4794152788,59.5679012346,18.2119145125,50.8271604938,28.0923486986,73.6315789474,23.075091198,75.5263157895,28.850042469,53.3456790123,1.13580246914,16,250,32.3173551762,51.0360110803,41.0,1
37.0635748547,140.086419753,38.5473182932,139.074074074,25.9724450377,150.888888889,28.4677330932,147.395061728,31.2535870517,156.052631579,27.7986428254,155.157894737,30.2698879742,127.925925926,1.01234567901,55,217,33.1742730605,145.512465374,55.2619047619,1
34.7618983193,137.259259259,37.396812255,136.49382716,29.3027805719,150.037037037,32.812227601,146.271604938,32.0673633072,155.0,30.2654919008,154.0,29.1384964229,126.098765432,0.765432098765,42,218,34.1296827597,143.739612188,59.5476190476,1
36.3685767244,141.765432099,37.428148917,136.469135802,29.2916370318,154.222222222,29.5107078492,150.790123457,36.1218313988,145.947368421,31.5020115437,160.210526316,29.0593262903,129.666666667,5.2962962963,49,221,34.277205757,146.567867036,61.1428571429,1
37.4514592103,142.925925926,38.5946896423,140.925925926,26.9088171116,155.802469136,29.4330412476,149.358024691,33.3897491195,154.421052632,30.3342414605,158.789473684,32.3487134568,131.827160494,2.0,49,220,33.9402856048,148.207756233,52.0714285714,1
26.8676978929,136.419753086,27.7617621869,126.024691358,18.6783065153,142.098765432,17.565510886,137.345679012,21.5402734314,147.263157895,25.5730987466,154.736842105,25.0686847975,129.592592593,10.3950617284,53,191,24.2597492102,136.95567867,55.5476190476,1
25.8195229838,133.716049383,26.6856413974,124.111111111,19.8102106108,143.555555556,19.8739512151,138.37037037,19.4241189991,146.578947368,27.4348384378,155.526315789,24.9188532148,127.962962963,9.6049382716,48,191,24.6944818818,136.479224377,57.9047619048,1
26.177195072,132.037037037,27.9987262105,124.185185185,20.2727251912,131.320987654,21.5442533972,127.765432099,24.8536993462,148.368421053,28.4830707361,147.368421053,25.1759242232,121.888888889,7.85185185185,64,201,25.2484196087,130.689750693,56.1904761905,1
26.7179776123,130.567901235,27.5838387528,123.345679012,21.0049964662,129.444444444,23.4759960359,126.160493827,24.3677958315,147.0,29.8576493445,148.684210526,26.6430965793,121.185185185,7.22222222222,57,205,25.916546655,129.390581717,59.880952381,1
19.5580806451,64.3333333333,24.9229815002,86.2592592593,13.5172500673,63.7777777778,16.8203431749,85.8024691358,15.9304235145,80.8947368421,18.2160016107,94.4210526316,20.8033739775,75.9012345679,21.9259259259,28,122,22.0624193419,76.2936288089,36.0952380952,1
19.5630908914,63.5679012346,24.9873005391,84.1728395062,14.1447542953,64.1111111111,17.5661876783,85.4938271605,16.331740929,79.8947368421,18.0183040206,95.1578947368,20.5071130518,76.4320987654,20.6049382716,25,123,22.1538698031,75.6454293629,36.0238095238,1
28.9891422841,140.0,32.3953204973,139.111111111,24.3784243762,160.839506173,24.2137700611,153.197530864,24.489016137,165.157894737,31.106376327,156.842105263,25.2344893816,138.617283951,0.888888888889,68,234,29.3860071997,149.620498615,70.4285714286,1
28.6121652023,138.382716049,32.2497021085,137.864197531,25.6726784686,164.555555556,26.0665556875,154.938271605,28.637480042,164.0,33.327552592,157.105263158,24.7630440856,136.432098765,0.518518518519,58,227,30.7944356334,150.155124654,74.0476190476,1
